Model,Explainer,Patient_Position,Original_Row_Index,Original_Probability,Mean_Perturbed_Probability,Mean_Absolute_Probability_Change,Class_Flip_Rate,Mean_Stability_Spearman,Std_Stability_Spearman,Mean_Stability_TopK,Std_Stability_TopK,Mean_Stability_Score,Std_Stability_Score,Minimum_Stability_Score,Maximum_Stability_Score
Logistic Regression,SHAP,0,44,0.7146424160389637,0.705950449766608,0.016949480750399294,0.0,0.9869047619047617,0.011845088536983529,1.0,0.0,0.9967261904761907,0.0029612721342458822,0.9940476190476191,1.0
Logistic Regression,SHAP,1,672,0.25108021980409934,0.24703048354961027,0.022675057408415085,0.0,0.9583333333333333,0.029999055162748,0.8333333333333333,0.16666666666666669,0.90625,0.08686959089345056,0.8095238095238095,1.0
Logistic Regression,SHAP,2,700,0.4269449837296195,0.42411068169703564,0.016942981119596984,0.0,0.8750000000000002,0.11290711170256666,0.7499999999999999,0.14433756729740646,0.84375,0.08727650027355588,0.7261904761904763,1.0
Logistic Regression,SHAP,3,630,0.4435588335354884,0.4413134833208989,0.017320649408542756,0.0,0.8821428571428573,0.09508171685354966,0.9833333333333332,0.0726483157256779,0.962202380952381,0.041122078844347425,0.8154761904761905,1.0
Logistic Regression,SHAP,4,81,0.012431945925142088,0.012587668742251788,0.001130609506047789,0.0,0.9916666666666665,0.0172926655313499,1.0,0.0,0.9979166666666668,0.004323166382837469,0.9821428571428572,1.0
Logistic Regression,SHAP,5,389,0.33697510042652523,0.3385625403848108,0.01899593087172599,0.0,0.8976190476190478,0.06986381310057717,0.85,0.16583123951777,0.899404761904762,0.08254087491507485,0.7857142857142858,1.0
Logistic Regression,SHAP,6,387,0.6206784659651914,0.627198366759574,0.026576281525572815,0.0,0.9619047619047618,0.03483033056744714,0.9166666666666666,0.14433756729740646,0.9488095238095239,0.07796028554622528,0.7976190476190477,1.0
Logistic Regression,SHAP,7,408,0.9365487706799428,0.9364551355278525,0.004826516992363439,0.0,0.9857142857142858,0.021821789023599224,0.9166666666666666,0.14433756729740646,0.9547619047619049,0.0757240185418536,0.8095238095238095,1.0
Logistic Regression,SHAP,8,163,0.18788007776319873,0.1933758265669239,0.018148618667738682,0.0,0.9392857142857143,0.057575248996874974,0.8833333333333334,0.1589898669028243,0.9264880952380953,0.08269901012412546,0.8095238095238095,1.0
Logistic Regression,SHAP,9,335,0.8332795214630727,0.8386916039047888,0.013067218022412851,0.0,0.9690476190476189,0.026190476190476167,1.0,0.0,0.9922619047619049,0.006547619047619038,0.9761904761904762,1.0
Logistic Regression,SHAP,10,471,0.4019113421643898,0.40564970023271235,0.021201910280961203,0.0,0.955952380952381,0.054437444596065095,0.85,0.16583123951777,0.9139880952380952,0.08655496710144356,0.7857142857142858,1.0
Logistic Regression,SHAP,11,78,0.6945232638894238,0.694619225520698,0.018677263623924068,0.0,0.9833333333333334,0.017003401020340092,0.9,0.1527525231651947,0.9458333333333332,0.07954617236181115,0.8214285714285714,1.0
Logistic Regression,SHAP,12,307,0.22571646403431925,0.22369098433933515,0.018968605978058592,0.0,0.9702380952380952,0.018249654424709376,1.0,0.0,0.992559523809524,0.004562413606177333,0.9821428571428572,1.0
